Sample	posterior	likelihood	prior	SkylineM.A_to_B.1	SkylineM.A_to_B.2	SkylineM.B_to_A.1	SkylineM.B_to_A.2	SkylineNe.A.1	SkylineNe.A.2	SkylineNe.A.3	SkylineNe.A.4	SkylineNe.B.1	SkylineNe.B.2	SkylineNe.B.3	SkylineNe.B.4	psi.height	psi.treeLength	Mascot	D.treeLikelihood
58	-4309.314965982574	-4281.877695901673	-27.437270080901133	0.72482110710078	0.8382523806261644	-2.070765268140112	-1.3620104216042772	-0.28027689156972174	-0.38889121015016065	-1.498134976274	-0.6269916219492557	0.20398557371622597	-0.6264553013847753	0.6317285044828921	2.0795289085751043	2.8683930889502594	7.113619992426381	-6.824906618269698	-4281.877695901673
60	-4309.332245913591	-4281.877695901673	-27.454550011917775	0.5812822566652368	0.8382523806261644	-2.070765268140112	-1.3620104216042772	-0.28027689156972174	-0.38889121015016065	-1.498134976274	-0.6269916219492557	0.20398557371622597	-0.6264553013847753	0.6317285044828921	2.0795289085751043	2.8683930889502594	7.113619992426381	-6.909341341581377	-4281.877695901673
62	-4309.597762038449	-4281.877695901673	-27.72006613677599	0.5812822566652368	0.8382523806261644	-2.070765268140112	-1.3620104216042772	-0.28027689156972174	-0.38889121015016065	-1.498134976274	-0.6269916219492557	0.20398557371622597	-0.6264553013847753	1.1095845590369802	2.0795289085751043	2.8683930889502594	7.113619992426381	-7.03712049707114	-4281.877695901673
64	-4309.235087719362	-4281.877695901673	-27.357391817688836	0.5812822566652368	0.8382523806261644	-2.070765268140112	-1.3620104216042772	-0.28027689156972174	-0.38889121015016065	-1.498134976274	-0.6269916219492557	0.20398557371622597	-0.3669925036213757	1.1095845590369802	2.0795289085751043	2.8683930889502594	7.113619992426381	-7.273031506605376	-4281.877695901673
66	-4308.762322766051	-4281.397599702682	-27.364723063368572	0.5812822566652368	0.8382523806261644	-2.070765268140112	-1.3620104216042772	-0.28027689156972174	-0.38889121015016065	-1.498134976274	-0.6269916219492557	0.20398557371622597	-0.3669925036213757	1.1095845590369802	2.0795289085751043	2.8683930889502594	7.111503654123926	-7.280362752285113	-4281.397599702682
68	-4308.762322766051	-4281.397599702682	-27.364723063368572	0.5812822566652368	0.8382523806261644	-2.070765268140112	-1.3620104216042772	-0.28027689156972174	-0.38889121015016065	-1.498134976274	-0.6269916219492557	0.20398557371622597	-0.3669925036213757	1.1095845590369802	2.0795289085751043	2.8683930889502594	7.111503654123926	-7.280362752285113	-4281.397599702682
70	-4308.762322766051	-4281.397599702682	-27.364723063368572	0.5812822566652368	0.8382523806261644	-2.070765268140112	-1.3620104216042772	-0.28027689156972174	-0.38889121015016065	-1.498134976274	-0.6269916219492557	0.20398557371622597	-0.3669925036213757	1.1095845590369802	2.0795289085751043	2.8683930889502594	7.111503654123926	-7.280362752285113	-4281.397599702682
72	-4308.629175511239	-4281.267453332904	-27.36172217833485	0.5812822566652368	0.8382523806261644	-2.070765268140112	-1.3620104216042772	-0.28027689156972174	-0.38889121015016065	-1.498134976274	-0.6269916219492557	0.20398557371622597	-0.3669925036213757	1.1095845590369802	2.0795289085751043	2.8683930889502594	7.110953642210967	-7.277361867251393	-4281.267453332904
74	-4308.629175511239	-4281.267453332904	-27.36172217833485	0.5812822566652368	0.8382523806261644	-2.070765268140112	-1.3620104216042772	-0.28027689156972174	-0.38889121015016065	-1.498134976274	-0.6269916219492557	0.20398557371622597	-0.3669925036213757	1.1095845590369802	2.0795289085751043	2.8683930889502594	7.110953642210967	-7.277361867251393	-4281.267453332904
76	-4284.92800439514	-4256.523774644474	-28.404229750666726	0.5812822566652368	0.8382523806261644	-2.070765268140112	-1.3620104216042772	-0.28027689156972174	-0.38889121015016065	-1.498134976274	-0.6269916219492557	0.20398557371622597	-0.3669925036213757	1.1095845590369802	2.0795289085751043	2.8683930889502594	7.574069429512974	-8.319869439583268	-4256.523774644474
78	-4286.016749072382	-4256.523774644474	-29.492974427907992	1.4374945397974335	0.8382523806261644	-2.070765268140112	-1.3620104216042772	-0.28027689156972174	-0.38889121015016065	-1.498134976274	-0.6269916219492557	0.20398557371622597	-0.3669925036213757	1.1095845590369802	2.0795289085751043	2.8683930889502594	7.574069429512974	-8.397834611447855	-4256.523774644474
80	-4287.445129451636	-4256.523774644474	-30.921354807161674	1.4374945397974335	0.8382523806261644	-2.070765268140112	-1.3620104216042772	-0.28027689156972174	-0.38889121015016065	-1.498134976274	-0.6269916219492557	0.20398557371622597	-0.3669925036213757	1.8567071679375562	2.0795289085751043	2.8683930889502594	7.574069429512974	-8.88950604359037	-4256.523774644474
82	-4286.355597424603	-4256.523774644474	-29.83182278012914	0.6049810858913746	0.4663891218656039	-2.070765268140112	-1.3620104216042772	-0.28027689156972174	-0.38889121015016065	-1.498134976274	-0.6269916219492557	0.20398557371622597	-0.3669925036213757	1.8567071679375562	2.0795289085751043	2.8683930889502594	7.574069429512974	-8.820109951806263	-4256.523774644474
84	-4286.355597424603	-4256.523774644474	-29.83182278012914	0.6049810858913746	0.4663891218656039	-2.070765268140112	-1.3620104216042772	-0.28027689156972174	-0.38889121015016065	-1.498134976274	-0.6269916219492557	0.20398557371622597	-0.3669925036213757	1.8567071679375562	2.0795289085751043	2.8683930889502594	7.574069429512974	-8.820109951806263	-4256.523774644474
86	-4286.355597424603	-4256.523774644474	-29.83182278012914	0.6049810858913746	0.4663891218656039	-2.070765268140112	-1.3620104216042772	-0.28027689156972174	-0.38889121015016065	-1.498134976274	-0.6269916219492557	0.20398557371622597	-0.3669925036213757	1.8567071679375562	2.0795289085751043	2.8683930889502594	7.574069429512974	-8.820109951806263	-4256.523774644474
88	-4286.355597424603	-4256.523774644474	-29.83182278012914	0.6049810858913746	0.4663891218656039	-2.070765268140112	-1.3620104216042772	-0.28027689156972174	-0.38889121015016065	-1.498134976274	-0.6269916219492557	0.20398557371622597	-0.3669925036213757	1.8567071679375562	2.0795289085751043	2.8683930889502594	7.574069429512974	-8.820109951806263	-4256.523774644474
90	-4270.399918503995	-4241.122882351271	-29.277036152723216	0.6049810858913746	0.4663891218656039	-2.070765268140112	-1.3620104216042772	-0.28027689156972174	-0.38889121015016065	-1.498134976274	-0.6269916219492557	0.20398557371622597	-0.3669925036213757	1.8567071679375562	2.0795289085751043	2.5066372530207945	6.618843373357607	-8.265323324400336	-4241.122882351271
92	-4266.018182614594	-4237.153979863512	-28.86420275108155	0.6049810858913746	0.4663891218656039	-2.070765268140112	-1.3620104216042772	-0.28027689156972174	-0.38889121015016065	-1.498134976274	-0.6269916219492557	0.20398557371622597	-0.3669925036213757	1.8567071679375562	2.0795289085751043	2.2962837870636257	6.063399364642133	-7.85248992275867	-4237.153979863512
94	-4265.4487729618995	-4236.596717345603	-28.852055616296372	0.6049810858913746	0.4663891218656039	-2.070765268140112	-1.3620104216042772	-0.28027689156972174	-0.38889121015016065	-1.498134976274	-0.6269916219492557	0.20398557371622597	-0.3669925036213757	1.8567071679375562	2.0795289085751043	2.2962837870636257	6.066120797862004	-7.840342787973494	-4236.596717345603
96	-4265.981497797899	-4236.673474387053	-29.30802341084538	0.6049810858913746	0.4663891218656039	-2.070765268140112	-1.3620104216042772	-0.28027689156972174	-0.38889121015016065	-1.498134976274	-0.6269916219492557	0.20398557371622597	-0.3669925036213757	1.8567071679375562	2.0795289085751043	5.669690140939531	12.811725696128242	-8.296310582522501	-4236.673474387053
