Sample	posterior	likelihood	prior	SkylineM.A_to_B.1	SkylineM.A_to_B.2	SkylineM.B_to_A.1	SkylineM.B_to_A.2	SkylineNe.A.1	SkylineNe.A.2	SkylineNe.B.1	SkylineNe.B.2	psi.height	psi.treeLength	Mascot	D.treeLikelihood
160	-6029.857425214786	-5999.564659596844	-30.2927656179423	0.9251784767525879	1.6963588555060398	-0.37022490003131203	0.0732888073186392	1.0745994891369253	0.38898123005283647	0.18695760373358133	0.5638796395270598	2.9886509315011938	11.510411990121389	-17.472350668719034	-5999.564659596844
162	-6029.925547643277	-5999.6371113931045	-30.2884362501729	0.9251784767525879	1.6963588555060398	-0.37022490003131203	0.0732888073186392	1.0745994891369253	0.38898123005283647	0.18695760373358133	0.5638796395270598	2.9886509315011938	11.506051841581485	-17.468021300949633	-5999.6371113931045
164	-6029.925547643277	-5999.6371113931045	-30.2884362501729	0.9251784767525879	1.6963588555060398	-0.37022490003131203	0.0732888073186392	1.0745994891369253	0.38898123005283647	0.18695760373358133	0.5638796395270598	2.9886509315011938	11.506051841581485	-17.468021300949633	-5999.6371113931045
166	-6029.890401431922	-6000.283161038494	-29.6072403934283	0.9251784767525879	1.6963588555060398	-0.37022490003131203	0.0732888073186392	1.0745994891369253	0.38898123005283647	0.18695760373358133	0.5638796395270598	2.753416624616801	10.60041977147192	-16.786825444205032	-6000.283161038494
168	-6030.468868338516	-6000.283161038494	-30.185707300022337	0.9251784767525879	2.1124427025913697	-0.37022490003131203	0.0732888073186392	1.0745994891369253	0.38898123005283647	0.18695760373358133	0.5638796395270598	2.753416624616801	10.60041977147192	-16.957853768107945	-6000.283161038494
170	-6030.468868338516	-6000.283161038494	-30.185707300022337	0.9251784767525879	2.1124427025913697	-0.37022490003131203	0.0732888073186392	1.0745994891369253	0.38898123005283647	0.18695760373358133	0.5638796395270598	2.753416624616801	10.60041977147192	-16.957853768107945	-6000.283161038494
172	-6030.369632837533	-6000.283161038494	-30.086471799038847	0.9251784767525879	2.1124427025913697	-0.37022490003131203	0.0732888073186392	1.0745994891369253	0.6530972687493201	0.06840045058159139	0.5638796395270598	2.753416624616801	10.60041977147192	-16.968244963994703	-6000.283161038494
174	-6031.8090771613715	-6000.721982869741	-31.087094291630837	0.9251784767525879	2.1124427025913697	-0.37022490003131203	0.0732888073186392	1.0745994891369253	0.6530972687493201	0.06840045058159139	0.5638796395270598	3.084389703034517	11.874637967482254	-17.968867456586693	-6000.721982869741
176	-6034.781380118838	-6000.748952560428	-34.03242755841006	2.539231068229234	2.1124427025913697	-0.37022490003131203	0.0732888073186392	1.0745994891369253	0.6530972687493201	0.06840045058159139	0.5638796395270598	3.084389703034517	11.871477238796896	-18.73205513781511	-6000.748952560428
178	-6032.461093380701	-5998.427129740731	-34.03396363996934	2.539231068229234	2.1124427025913697	-0.37022490003131203	0.0732888073186392	1.0745994891369253	0.6530972687493201	0.06840045058159139	0.5638796395270598	3.084389703034517	11.871477238796896	-18.733591219374397	-5998.427129740731
180	-6032.666633843339	-5998.241518477967	-34.42511536537188	2.539231068229234	2.1124427025913697	-0.661259996795251	0.0732888073186392	1.0745994891369253	0.6530972687493201	0.06840045058159139	0.5638796395270598	3.084389703034517	11.905369780233205	-18.803215022888775	-5998.241518477967
182	-6032.666633843339	-5998.241518477967	-34.42511536537188	2.539231068229234	2.1124427025913697	-0.661259996795251	0.0732888073186392	1.0745994891369253	0.6530972687493201	0.06840045058159139	0.5638796395270598	3.084389703034517	11.905369780233205	-18.803215022888775	-5998.241518477967
184	-6027.905196482302	-5993.520020466667	-34.38517601563474	2.539231068229234	2.1124427025913697	-0.661259996795251	0.0732888073186392	1.0745994891369253	0.6530972687493201	0.06840045058159139	0.5638796395270598	3.084389703034517	11.888201750512572	-18.763275673151636	-5993.520020466667
186	-6025.373689779422	-5993.520020466667	-31.853669312755734	1.4738675563658266	2.1124427025913697	-0.661259996795251	0.0732888073186392	1.0745994891369253	0.6530972687493201	0.06840045058159139	0.5638796395270598	3.084389703034517	11.888201750512572	-18.256658438182463	-5993.520020466667
188	-6025.802040788418	-5993.909329063597	-31.892711724819968	1.4738675563658266	2.1124427025913697	-0.661259996795251	0.0732888073186392	1.0745994891369253	0.6530972687493201	0.06840045058159139	0.5638796395270598	3.084389703034517	11.903251986546735	-18.2957008502467	-5993.909329063597
190	-6025.869291772344	-5993.910930842163	-31.958360930180724	1.4738675563658266	2.1124427025913697	-0.661259996795251	0.0732888073186392	1.0745994891369253	0.6530972687493201	0.06840045058159139	0.5638796395270598	3.2834738015366245	12.301420183550949	-18.361350055607456	-5993.910930842163
192	-6023.080088288288	-5991.829379811626	-31.250708476661764	1.4738675563658266	2.1124427025913697	-0.661259996795251	0.0732888073186392	1.0745994891369253	0.6530972687493201	0.06840045058159139	0.5638796395270598	3.0436557807807767	11.40295032534023	-17.653697602088496	-5991.829379811626
