Sample	posterior	likelihood	prior	M.1	M.2	SkylineNe.A.1	SkylineNe.A.2	SkylineNe.B.1	SkylineNe.B.2	psi.height	psi.treeLength	Mascot	D.treeLikelihood
136	-5715.886904547773	-5689.726579379001	-26.16032516877182	0.558681095798974	2.282438499377729	-0.5330865353831206	-1.708883147170379	0.6117798076718616	-0.038193573307907076	6.336719675023719	16.939311351230423	-16.824060680447733	-5689.726579379001
138	-5716.606185959491	-5690.4670536549465	-26.139132304544948	0.558681095798974	2.282438499377729	-0.5330865353831206	-1.708883147170379	0.6117798076718616	-0.038193573307907076	6.336719675023719	16.928474257013935	-16.80286781622086	-5690.4670536549465
140	-5716.606185959491	-5690.4670536549465	-26.139132304544948	0.558681095798974	2.282438499377729	-0.5330865353831206	-1.708883147170379	0.6117798076718616	-0.038193573307907076	6.336719675023719	16.928474257013935	-16.80286781622086	-5690.4670536549465
142	-5716.33590914252	-5690.23722040924	-26.098688733280117	0.558681095798974	2.282438499377729	-0.5330865353831206	-1.708883147170379	0.6117798076718616	-0.038193573307907076	6.336719675023719	16.91670095312797	-16.76242424495603	-5690.23722040924
144	-5716.33590914252	-5690.23722040924	-26.098688733280117	0.558681095798974	2.282438499377729	-0.5330865353831206	-1.708883147170379	0.6117798076718616	-0.038193573307907076	6.336719675023719	16.91670095312797	-16.76242424495603	-5690.23722040924
146	-5716.33590914252	-5690.23722040924	-26.098688733280117	0.558681095798974	2.282438499377729	-0.5330865353831206	-1.708883147170379	0.6117798076718616	-0.038193573307907076	6.336719675023719	16.91670095312797	-16.76242424495603	-5690.23722040924
148	-5716.353032942979	-5690.283881298584	-26.06915164439524	0.558681095798974	2.282438499377729	-0.5330865353831206	-1.708883147170379	0.6117798076718616	-0.038193573307907076	6.336719675023719	16.90806456836912	-16.732887156071154	-5690.283881298584
150	-5716.353032942979	-5690.283881298584	-26.06915164439524	0.558681095798974	2.282438499377729	-0.5330865353831206	-1.708883147170379	0.6117798076718616	-0.038193573307907076	6.336719675023719	16.90806456836912	-16.732887156071154	-5690.283881298584
152	-5715.641968462467	-5690.304775619093	-25.33719284337458	0.558681095798974	2.282438499377729	-0.5330865353831206	-0.7820057981304275	0.6117798076718616	-0.038193573307907076	6.336719675023719	16.875515703141126	-16.661196791512364	-5690.304775619093
154	-5715.641968462467	-5690.304775619093	-25.33719284337458	0.558681095798974	2.282438499377729	-0.5330865353831206	-0.7820057981304275	0.6117798076718616	-0.038193573307907076	6.336719675023719	16.875515703141126	-16.661196791512364	-5690.304775619093
156	-5715.641968462467	-5690.304775619093	-25.33719284337458	0.558681095798974	2.282438499377729	-0.5330865353831206	-0.7820057981304275	0.6117798076718616	-0.038193573307907076	6.336719675023719	16.875515703141126	-16.661196791512364	-5690.304775619093
158	-5716.995851662412	-5691.658781889331	-25.33706977308023	0.558681095798974	2.282438499377729	-0.5330865353831206	-0.7820057981304275	0.6117798076718616	-0.038193573307907076	6.336719675023719	16.875515703141133	-16.66107372121801	-5691.658781889331
160	-5716.976988036145	-5691.658781889331	-25.318206146813385	0.558681095798974	2.282438499377729	-0.5330865353831206	-0.3774152572584287	0.6117798076718616	-0.038193573307907076	6.336719675023719	16.875515703141133	-16.66107372121801	-5691.658781889331
162	-5716.976988036145	-5691.658781889331	-25.318206146813385	0.558681095798974	2.282438499377729	-0.5330865353831206	-0.3774152572584287	0.6117798076718616	-0.038193573307907076	6.336719675023719	16.875515703141133	-16.66107372121801	-5691.658781889331
164	-5712.590603372166	-5687.3496480041085	-25.240955368057506	0.558681095798974	2.282438499377729	-0.5330865353831206	-0.3774152572584287	0.6117798076718616	-0.038193573307907076	6.336719675023719	16.869783454379025	-16.58382294246213	-5687.3496480041085
166	-5711.2411028263405	-5686.000024374311	-25.241078452029683	0.558681095798974	2.282438499377729	-0.5330865353831206	-0.3774152572584287	0.6117798076718616	-0.038193573307907076	6.336719675023719	16.869783454379018	-16.583946026434308	-5686.000024374311
168	-5711.665814727526	-5686.318038113672	-25.347776613853835	1.3055455776752454	2.282438499377729	-0.5330865353831206	-0.3774152572584287	0.6117798076718616	-0.038193573307907076	5.956112984538549	15.856522212118271	-15.975768039003103	-5686.318038113672
170	-5711.665814727526	-5686.318038113672	-25.347776613853835	1.3055455776752454	2.282438499377729	-0.5330865353831206	-0.3774152572584287	0.6117798076718616	-0.038193573307907076	5.956112984538549	15.856522212118271	-15.975768039003103	-5686.318038113672
172	-5711.665814727526	-5686.318038113672	-25.347776613853835	1.3055455776752454	2.282438499377729	-0.5330865353831206	-0.3774152572584287	0.6117798076718616	-0.038193573307907076	5.956112984538549	15.856522212118271	-15.975768039003103	-5686.318038113672
174	-5711.259641713036	-5687.028815965134	-24.230825747902713	1.3055455776752454	1.2341689381676053	-0.5330865353831206	-0.3774152572584287	0.6117798076718616	-0.038193573307907076	5.956112984538549	15.856522212118271	-15.79204427218801	-5687.028815965134
176	-5711.948456345619	-5687.776273153787	-24.17218319183201	1.3055455776752454	1.2341689381676053	-0.5330865353831206	-0.3774152572584287	0.6117798076718616	-0.038193573307907076	5.956112984538549	15.814596578844956	-15.733401716117307	-5687.776273153787
178	-5713.494484525625	-5687.776273153787	-25.718211371837942	2.161409675537167	1.2341689381676053	-0.5330865353831206	-0.3774152572584287	0.9168272144712354	-0.038193573307907076	5.956112984538549	15.814596578844956	-16.035849226717634	-5687.776273153787
180	-5713.494484525625	-5687.776273153787	-25.718211371837942	2.161409675537167	1.2341689381676053	-0.5330865353831206	-0.3774152572584287	0.9168272144712354	-0.038193573307907076	5.956112984538549	15.814596578844956	-16.035849226717634	-5687.776273153787
