Sample	posterior	likelihood	prior	M.1	M.2	SkylineNe.A.1	SkylineNe.A.2	SkylineNe.B.1	SkylineNe.B.2	psi.height	psi.treeLength	Mascot	D.treeLikelihood
90	-5259.314485250006	-5233.515209294197	-25.799275955808927	1.4424140723948338	1.603531979729043	-1.424391059320624	-1.708883147170379	1.4922333736021411	-0.0873389221566028	1.8672128437720221	6.8647803901502025	-14.014838485410634	-5233.515209294197
92	-5258.358400326968	-5233.515209294197	-24.843191032770545	0.4618059358726599	1.603531979729043	-1.424391059320624	-1.708883147170379	1.4922333736021411	-0.0873389221566028	1.8672128437720221	6.8647803901502025	-13.966313218742068	-5233.515209294197
94	-5258.4128537566985	-5233.6198130981475	-24.79304065855115	0.4618059358726599	1.603531979729043	-1.424391059320624	-1.708883147170379	1.4922333736021411	-0.0873389221566028	1.8672128437720221	6.830603891432782	-13.916162844522674	-5233.6198130981475
96	-5258.502850907615	-5233.735961881679	-24.766889025935825	0.4618059358726599	1.603531979729043	-1.424391059320624	-1.708883147170379	1.4922333736021411	-0.0873389221566028	1.8672128437720221	6.804005715520024	-13.890011211907346	-5233.735961881679
98	-5258.876862890565	-5233.475883457844	-25.400979432720366	0.4618059358726599	1.603531979729043	-1.424391059320624	-1.708883147170379	1.4922333736021411	-0.0873389221566028	3.1572402887358444	9.384060605447669	-14.524101618691889	-5233.475883457844
100	-5239.403784927503	-5214.768844139058	-24.634940788444183	0.4618059358726599	1.603531979729043	-1.424391059320624	-1.708883147170379	1.4922333736021411	-0.0873389221566028	2.847547487584289	8.444454985432834	-13.758062974415704	-5214.768844139058
102	-5239.403784927503	-5214.768844139058	-24.634940788444183	0.4618059358726599	1.603531979729043	-1.424391059320624	-1.708883147170379	1.4922333736021411	-0.0873389221566028	2.847547487584289	8.444454985432834	-13.758062974415704	-5214.768844139058
104	-5238.870106772409	-5214.768844139058	-24.10126263334997	0.4618059358726599	0.7437437492582776	-1.424391059320624	-1.708883147170379	1.4922333736021411	-0.0873389221566028	2.847547487584289	8.444454985432834	-14.060317365180586	-5214.768844139058
106	-5239.545041695709	-5215.132719034642	-24.41232266106714	0.4618059358726599	0.7437437492582776	-1.424391059320624	-1.708883147170379	1.4922333736021411	-0.0873389221566028	2.847547487584289	8.71924766363665	-14.371377392897756	-5215.132719034642
108	-5241.591868026442	-5215.850542325261	-25.741325701181072	0.4618059358726599	0.7437437492582776	-1.424391059320624	-1.708883147170379	1.4922333736021411	-0.0873389221566028	6.26207403060837	15.254898304142458	-15.700380433011684	-5215.850542325261
110	-5226.46151099267	-5201.602675027449	-24.858835965221584	0.4618059358726599	0.7437437492582776	-1.424391059320624	-1.708883147170379	1.4922333736021411	-0.0873389221566028	5.580598620311475	13.698629868189224	-14.8178906970522	-5201.602675027449
112	-5226.46151099267	-5201.602675027449	-24.858835965221584	0.4618059358726599	0.7437437492582776	-1.424391059320624	-1.708883147170379	1.4922333736021411	-0.0873389221566028	5.580598620311475	13.698629868189224	-14.8178906970522	-5201.602675027449
114	-5224.753751302669	-5201.119125120239	-23.63462618242972	0.4618059358726599	0.49817724684181197	-1.424391059320624	-1.708883147170379	1.4922333736021411	-0.0873389221566028	5.072190442798663	12.450646288011953	-13.795482254808865	-5201.119125120239
116	-5221.272376500219	-5197.6287835289695	-23.643592971249824	0.4618059358726599	0.49817724684181197	-1.424391059320624	-1.708883147170379	1.4922333736021411	-0.0873389221566028	5.072190442798663	12.454070898085075	-13.804449043628969	-5197.6287835289695
118	-5221.273642881001	-5197.6287835289695	-23.644859352031418	0.4618059358726599	0.49817724684181197	-1.424391059320624	-1.708883147170379	1.4922333736021411	-0.049245519490894896	5.072190442798663	12.454070898085075	-13.865161154249169	-5197.6287835289695
120	-5222.506349844045	-5198.075165053991	-24.431184790053457	0.4618059358726599	0.49817724684181197	-1.424391059320624	-1.708883147170379	1.4922333736021411	-0.049245519490894896	5.543934017388778	13.612372817131254	-14.651486592271212	-5198.075165053991
122	-5222.506349844045	-5198.075165053991	-24.431184790053457	0.4618059358726599	0.49817724684181197	-1.424391059320624	-1.708883147170379	1.4922333736021411	-0.049245519490894896	5.543934017388778	13.612372817131254	-14.651486592271212	-5198.075165053991
124	-5223.193848993023	-5198.635233239002	-24.55861575402013	0.4618059358726599	0.49817724684181197	-1.424391059320624	-1.708883147170379	1.4922333736021411	-0.049245519490894896	5.850238744201206	14.20792496585723	-14.778917556237882	-5198.635233239002
126	-5227.424983861605	-5198.635233239002	-28.78975062260311	0.4618059358726599	0.49817724684181197	-2.713091291362515	-1.708883147170379	1.4922333736021411	-0.049245519490894896	5.850238744201206	14.20792496585723	-15.880316067717214	-5198.635233239002
128	-5227.424983861605	-5198.635233239002	-28.78975062260311	0.4618059358726599	0.49817724684181197	-2.713091291362515	-1.708883147170379	1.4922333736021411	-0.049245519490894896	5.850238744201206	14.20792496585723	-15.880316067717214	-5198.635233239002
130	-5227.424983861605	-5198.635233239002	-28.78975062260311	0.4618059358726599	0.49817724684181197	-2.713091291362515	-1.708883147170379	1.4922333736021411	-0.049245519490894896	5.850238744201206	14.20792496585723	-15.880316067717214	-5198.635233239002
132	-5227.424983861605	-5198.635233239002	-28.78975062260311	0.4618059358726599	0.49817724684181197	-2.713091291362515	-1.708883147170379	1.4922333736021411	-0.049245519490894896	5.850238744201206	14.20792496585723	-15.880316067717214	-5198.635233239002
134	-5226.129227879369	-5197.893128117811	-28.236099761557583	0.4618059358726599	0.49817724684181197	-2.713091291362515	-1.708883147170379	1.4922333736021411	-0.049245519490894896	5.475811534694978	13.29858879507055	-15.326665206671693	-5197.893128117811
136	-5226.129227879369	-5197.893128117811	-28.236099761557583	0.4618059358726599	0.49817724684181197	-2.713091291362515	-1.708883147170379	1.4922333736021411	-0.049245519490894896	5.475811534694978	13.29858879507055	-15.326665206671693	-5197.893128117811
138	-5229.403326096076	-5197.893127049018	-31.51019904705759	0.4618059358726599	0.49817724684181197	-2.713091291362515	-1.708883147170379	1.4922333736021411	-0.049245519490894896	12.258691230591346	26.86434818686329	-18.6007644921717	-5197.893127049018
140	-5229.403326096076	-5197.893127049018	-31.51019904705759	0.4618059358726599	0.49817724684181197	-2.713091291362515	-1.708883147170379	1.4922333736021411	-0.049245519490894896	12.258691230591346	26.86434818686329	-18.6007644921717	-5197.893127049018
142	-5229.403326096076	-5197.893127049018	-31.51019904705759	0.4618059358726599	0.49817724684181197	-2.713091291362515	-1.708883147170379	1.4922333736021411	-0.049245519490894896	12.258691230591346	26.86434818686329	-18.6007644921717	-5197.893127049018
144	-5229.961282249032	-5197.893127049018	-32.06815520001301	0.4618059358726599	0.49817724684181197	-2.713091291362515	-0.7820057981304275	1.4922333736021411	-0.049245519490894896	12.258691230591346	26.86434818686329	-17.798392052472316	-5197.893127049018
146	-5228.975482381142	-5196.942425878914	-32.033056502227424	0.4618059358726599	0.49817724684181197	-2.713091291362515	-0.7820057981304275	1.4922333736021411	-0.049245519490894896	12.258691230591346	26.85922874534704	-17.763293354686734	-5196.942425878914
148	-5229.063799441112	-5196.942425878917	-32.12137356219505	0.4618059358726599	0.49817724684181197	-2.713091291362515	-0.7820057981304275	1.4922333736021411	-0.049245519490894896	12.443848834863834	27.229543953892012	-17.851610414654363	-5196.942425878917
